RefDes,Value,BDAT,Type/PN
D1,,DI-0052,PMEG6030EP
U1,,IC-0347,ISL97671A
L1,30uH,IN-0073,ASPI-6045S-300M-T
C5,0.1uF,SC-0047,CAP_0402
C6,1.0uF,SC-0048,CAP_0402
C10,1uF,SC-0048,CAP_0402
C3,1uF,SC-0061,CAP_0603
C8,33pF,SC-0068,CAP_0402
C7,22uF,SC-0096,CAP_0805
C12,3300pF,SC-0111-00,CAP_0402
C11,390pF,SC-0112-00,CAP_0402
"C1, C2",4.7uF,SC-3900,CAP_1210
"C4, C9",1000pF,SC-4050,CAP_0402
R4,20K0,SR-0038,RES_0402
R5,2K21,SR-0091,RES_0402
R2,28K0,SR-0229,RES_0402
R1,1M0,SR-9000,RES_0402
R3,10K0,SR-9030,RES_0402
